station_id,name,lat,lng
6740.10,W 51 St & 6 Ave,40.735353589,-74.046973348
5065.04,John St & William St,40.735353589,-74.046973348
7323.09,5 Ave & E 87 St,40.735353589,-74.046973348
6822.09,1 Ave & E 68 St,40.735353589,-74.046973348
4474.01,Halsey St & Evergreen Ave,40.735353589,-74.046973348
5788.12,E 12 St & 3 Ave,40.735353589,-74.046973348
6257.03,W 24 St & 7 Ave,40.735353589,-74.046973348
5788.16,E 11 St & 3 Ave,40.735353589,-74.046973348
4507.07,Wilson Ave & Moffat St,40.735353589,-74.046973348
4446.03,Pacific St & Smith St,40.735353589,-74.046973348
4906.07,George St & Wilson Ave,40.735353589,-74.046973348
6495.17,31 St & Northern Blvd,40.735353589,-74.046973348
4281.08,Bergen St & Flatbush Ave,40.735353589,-74.046973348
5755.09,Washington Square E,40.735353589,-74.046973348
6932.15,E 68 St & Madison Ave,40.735353589,-74.046973348
5430.10,6 Ave & Walker St,40.735353589,-74.046973348
5730.08,Greenwich St & W Houston St,40.735353589,-74.046973348
4243.01,Commerce St & Van Brunt St,40.735353589,-74.046973348
6030.04,W 13 St & 7 Ave,40.735353589,-74.046973348
5348.02,Wythe Ave & Metropolitan Ave,40.735353589,-74.046973348
5303.08,Canal St & Rutgers St,40.735353589,-74.046973348
5065.10,Maiden Ln & Pearl St,40.735353589,-74.046973348
6535.04,W 34 St & Hudson Blvd E,40.735353589,-74.046973348
5411.08,Driggs Ave & N 9 St,40.735353589,-74.046973348
5593.02,E 2 St & 2 Ave,40.735353589,-74.046973348
5746.14,E 11 St & 1 Ave,40.735353589,-74.046973348
5712.03,Cooper Square & Astor Pl,40.735353589,-74.046973348
6717.06,9 Ave & W 45 St,40.735353589,-74.046973348
6644.08,9 Ave & W 39 St,40.735353589,-74.046973348
6072.06,Greenwich Ave & 8 Ave,40.735353589,-74.046973348
6747.07,8 Ave & W 49 St,40.735353589,-74.046973348
5989.02,W 15 St & 6 Ave,40.735353589,-74.046973348
6602.03,W 41 St & 8 Ave,40.735353589,-74.046973348
4550.05,Central Ave & Covert St,40.735353589,-74.046973348
6756.05,W 44 St & 11 Ave,40.735353589,-74.046973348
6306.06,W 22 St & 10 Ave,40.735353589,-74.046973348
5414.07,Delancey St & Eldridge St,40.735353589,-74.046973348
4553.04,Kosciuszko St & Tompkins Ave,40.735353589,-74.046973348
5276.04,S 2 St & Kent Ave,40.735353589,-74.046973348
5267.08,Grand St & Havemeyer St,40.735353589,-74.046973348
5886.13,E 20 St & FDR Dr,40.735353589,-74.046973348
6072.11,8 Ave & W 16 St,40.735353589,-74.046973348
4816.05,Myrtle Ave & Grove St,40.735353589,-74.046973348
6004.06,E 27 St & 1 Ave,40.735353589,-74.046973348
6771.13,W 54 St & 6 Ave,40.735353589,-74.046973348
4987.06,White St & Moore St,40.735353589,-74.046973348
4319.07,Halsey St & Tompkins Ave,40.735353589,-74.046973348
6131.12,Madison Ave & E 26 St,40.735353589,-74.046973348
5613.04,Kingsland Ave & Nassau Ave,40.735353589,-74.046973348
4380.08,Henry St & Degraw St,40.735353589,-74.046973348
4824.03,Stockholm St & Wilson Ave,40.735353589,-74.046973348
4936.21,Main St & Plymouth St,40.735353589,-74.046973348
6676.02,W 45 St & 8 Ave,40.735353589,-74.046973348
5905.14,University Pl & E 14 St,40.735353589,-74.046973348
5584.04,E 6 St & Avenue B,40.735353589,-74.046973348
5752.09,Greenpoint Ave & West St,40.735353589,-74.046973348
5755.01,Washington Pl & Broadway,40.735353589,-74.046973348
4531.05,Henry St & Atlantic Ave,40.735353589,-74.046973348
4368.05,Monroe St & Bedford Ave,40.735353589,-74.046973348
5024.10,Water St &  Fletcher St,40.735353589,-74.046973348
4665.02,Willoughby Ave & Tompkins Ave,40.735353589,-74.046973348
5838.09,Washington Pl & 6 Ave,40.735353589,-74.046973348
5820.08,E 13 St & 2 Ave,40.71433115,-74.03313255
5721.01,Sullivan St & Washington Sq,40.73771905,-74.06712138333333
6659.09,Madison Av & E 51 St,40.71433115,-74.03313255
5602.06,Greene St & Prince St,40.719274633333335,-74.04311011666667
7049.04,E 82 St & East End Ave,40.73771905,-74.06712138333333
5198.04,Market St & Cherry St,40.719274633333335,-74.04311011666667
5626.13,St Marks Pl & 1 Ave,40.71433115,-74.03313255
6747.06,W 49 St & 8 Ave,40.78096506666667,-74.01874861666667
5216.06,Vesey St & Church St,40.73771905,-74.06712138333333
5955.12,Perry St & Greenwich Ave,40.719274633333335,-74.04311011666667
6560.01,Broadway & W 41 St,40.719274633333335,-74.04311011666667
6551.11,E 43 St & Madison Ave,40.73771905,-74.06712138333333
6560.15,Broadway & W 38 St,40.763495633333335,-74.01484118333333
5679.08,Bleecker St & Crosby St,40.76520691666666,-74.02862141666667
7235.13,E 88 St & 1 Ave,40.73771905,-74.06712138333333
5195.06,S 4 St & Roebling St,40.719274633333335,-74.04311011666667
7443.01,Madison Ave & E 99 St,40.73771905,-74.06712138333333
7100.07,5 Ave & E 72 St,40.73771905,-74.06712138333333
8254.01,W 170 St & University Ave,40.8639433,-73.9411734
5065.14,Cliff St & Fulton St,40.71433115,-74.03313255
4850.04,Tompkins Ave & Hopkins St,40.71433115,-74.03313255
6847.02,Broadway & W 56 St,40.736344814,-74.029074669
6753.08,1 Ave & E 62 St,40.73771905,-74.06712138333333
6679.11,35 St & 34 Ave,40.73771905,-74.06712138333333
6925.09,2 Ave & E 72 St,40.73771905,-74.06712138333333
5593.04,E 4 St & 2 Ave,40.719274633333335,-74.04311011666667
5569.06,W Broadway & Spring St,40.73771905,-74.06712138333333
5616.01,E 9 St & Avenue C,40.758944983333336,-74.0153526
6948.10,Broadway & W 58 St,40.758944983333336,-74.0153526
5294.04,Henry St & Grand St,40.75035571666667,-74.06811701666666
4663.06,Putnam Ave & Knickerbocker Ave,40.719274633333335,-74.04311011666667
5297.02,Vesey Pl & River Terrace,40.719274633333335,-74.04311011666667
6779.05,Broadway & W 53 St,40.75007196666667,-74.01744501666667
7180.02,E 84 St & 1 Ave,40.73771905,-74.06712138333333
5045.05,Division Ave & Hooper St,40.719274633333335,-74.04311011666667
7365.08,E 97 St & 3 Ave,40.73771905,-74.06712138333333
6046.02,E 25 St & 2 Ave,40.73771905,-74.06712138333333
5270.08,Division St & Bowery,40.719274633333335,-74.04311011666667
6816.07,8 Ave & W 52 St,40.8028376,-73.99727856666667
5374.01,Norfolk St & Broome St,40.750450566666665,-74.06776671666667
7212.05,E 85 St & 3 Ave,40.73771905,-74.06712138333333
5575.13,Avenue D & E 10 St,40.73771905,-74.06712138333333
7432.09,W 89 St & Columbus Ave,40.73771905,-74.06712138333333
5128.04,Catherine St & Monroe St,40.719274633333335,-74.04311011666667
5436.09,Avenue D & E 3 St,40.71433115,-74.03313255
4617.01,Lewis Ave & Kosciuszko St,40.71433115,-74.03313255
8226.06,Broadway & W 168 St,40.758944983333336,-74.0153526
8262.07,W 171 St & St. Nicholas Ave,40.758944983333336,-74.0153526
5329.08,Murray St & West St,40.71433115,-74.03313255
5553.10,E 2 St & Avenue A,40.73771905,-74.06712138333333
7059.01,11 Ave & W 59 St,40.77218081666667,-74.00700725
5922.04,Greenwich St & Perry St,40.71433115,-74.03313255
5500.07,6 Ave & Canal St,40.71433115,-74.03313255
6429.01,Queens Plaza North & Crescent St,40.73771905,-74.06712138333333
6364.10,6 Ave & W 34 St,40.71599065,-74.06153856666667
5288.09,Warren St & W Broadway,40.7310711,-74.06444608333334
6450.12,8 Ave & W 33 St,40.76159938333333,-74.03773895
7123.04,W 64 St & Thelonious Monk Circle,40.76129006666667,-74.0161544
6700.14,W 51 St & Rockefeller Plaza,40.73700185,-74.03042316666667
6022.04,E 16 St & 5 Ave,40.73767578333333,-74.05254506666667
5470.10,Greenwich St & Hubert St,40.7310711,-74.06444608333334
6224.05,W 20 St & 8 Ave,40.726639867,-74.029737234
7052.01,W 63 St & Broadway,40.761369316666666,-74.0362417
5184.08,West St & Liberty St,40.73767578333333,-74.05254506666667
6578.01,W 34 St & 11 Ave,40.7310711,-74.06444608333334
6889.12,E 72 St & York Ave,40.738623833333335,-74.02162763333334
5847.01,Christopher St & Greenwich St,40.7310711,-74.06444608333334
5351.07,Walker St & Baxter St,40.7310711,-74.06444608333334
5207.01,Centre St & Chambers St,40.695319057,-74.033257246
HB609,River St & 1 St,40.73721535335381,-74.02886540972803
6847.05,7 Ave & W 55 St,40.7652956,-74.01260011666666
6450.05,8 Ave & W 31 St,40.77564173333333,-74.06030326666666
7116.04,W 67 St & Broadway,40.7652956,-74.01260011666666
6266.06,9 Ave & W 22 St,40.69967915,-74.0334966
6809.09,W 55 St & 6 Ave,40.7322901,-74.03300593333333
5578.02,Watts St & Greenwich St,40.730664966666666,-74.04631458333333
5114.06,West Thames St,40.730664966666666,-74.04631458333333
4510.04,Greene Ave & Throop Ave,40.735759433333335,-74.05280078333334
4483.10,Broadway & Madison St,40.735759433333335,-74.05280078333334
6498.09,E 47 St & 1 Ave,40.7632512,-74.05501823333333
6064.08,W 18 St & 6 Ave,40.781792716666665,-74.0140628
5178.06,Graham Ave & Grand St,40.77737846666667,-74.06476461666666
5134.09,Broadway & Kent Ave,40.735759433333335,-74.05280078333334
7382.04,W 84 St & Columbus Ave,40.7652956,-74.01260011666666
5419.04,N 5 St & Wythe Ave,40.735759433333335,-74.05280078333334
6098.10,Broadway & E 21 St,40.72590246666667,-74.03865113333333
7502.01,W 92 St & Broadway,40.7652956,-74.01260011666666
6926.01,W 52 St & 11 Ave,40.75296063046496,-74.02435272932053
5117.05,Stagg St & Union Ave,40.77737846666667,-74.06476461666666
6389.09,E 39 St & Lexington Ave,40.75846625,-74.049036
5653.12,Spring St & Hudson St,40.730664966666666,-74.04631458333333
6511.03,50 St & Northern Blvd,40.76257705,-74.05248243333334
6718.02,77 St & 31 Ave,40.76624163333334,-74.0556218
3710.07,Lefferts Ave & Schenectady Ave,40.73626731666667,-74.02900373333334
8795.01,Jerome Ave & E Mosholu Parkway S,40.7350155,-74.02758883333334
6224.06,8 Ave & W 24 St,40.72591208333333,-74.03550766666666
5847.08,Washington St & Barrow St,40.78903018333333,-73.99793313333333
5279.03,Centre St & Worth St,40.73626731666667,-74.02900373333334
4756.04,Brooklyn Bridge Park - Pier 2,40.73626731666667,-74.02900373333334
6541.03,E 48 St & 3 Ave,40.7350155,-74.02758883333334
5033.01,Broadway & Morris St,40.73626731666667,-74.02900373333334
7059.08,West End Ave & W 60 St,40.78903018333333,-73.99793313333333
5073.07,Greenwich St & Rector St,40.704525709,-74.026640654
6876.04,Central Park S & 6 Ave,40.78903018333333,-73.99793313333333
7286.01,E 91 St & 2 Ave,40.78903018333333,-73.99793313333333
7741.01,Morningside Ave & W 123 St,40.8066187,-74.00907335
5235.05,S 3 St & Bedford Ave,40.72591208333333,-74.03550766666666
6289.06,Broadway & W 29 St,40.7350155,-74.02758883333334
7204.08,E 89 St & York Ave,40.7350155,-74.02758883333334
4614.04,Atlantic Ave & Furman St,40.69187865,-74.05319178333333
6079.03,1 Ave & E 30 St,40.7350155,-74.02758883333334
5065.12,William St & Pine St,40.73626731666667,-74.02900373333334
4089.01,Bergen St & Kingston Ave,40.73626731666667,-74.02900373333334
6953.08,E 74 St & 1 Ave,40.7350155,-74.02758883333334
6626.01,E 48 St & 5 Ave,40.773169933333335,-74.03184376666667
HB610,Adams St & 12 St,40.751889392240685,-74.03329162748534
7207.08,W 70 St & Amsterdam Ave,40.78903018333333,-73.99793313333333
4812.04,Sands St Gate,40.78903018333333,-73.99793313333333
5971.09,E 22 St & 2 Ave,40.72591208333333,-74.03550766666666
6164.09,Lexington Ave & E 29 St,40.70548705,-74.04849713333333
4637.06,Fulton St & Adams St,40.73626731666667,-74.02900373333334
6584.12,E 47 St & Park Ave,40.72591208333333,-74.03550766666666
HB611,4 St & River St,40.740769506,-74.027412534
6364.07,6 Ave & W 33 St,40.73626731666667,-74.02900373333334
6896.16,E 68 St & 3 Ave,40.72591208333333,-74.03550766666666
4128.08,Pioneer St & Richards St,40.73626731666667,-74.02900373333334
7365.13,E 95 St & 3 Ave,40.736136783333336,-74.02936768333333
7260.09,Amsterdam Ave & W 73 St,40.74491796666667,-74.02528685
6441.01,Broadway & W 36 St,40.75607193333333,-74.02587686666666
7704.04,Adam Clayton Powell Blvd & W 123 St,40.736136783333336,-74.02936768333333
8040.03,E 167 St & Bryant Ave,40.736136783333336,-74.02936768333333
6425.04,11 Ave & W 27 St,40.735011766666666,-74.01998035
5610.09,6 Ave & Broome St,40.73144713333333,-74.02434595
7453.01,Central Park W & W 91 St,40.736136783333336,-74.02936768333333
7657.03,St Ann's Ave & Bruckner Blvd,40.736136783333336,-74.02936768333333
8060.01,Freeman St & Southern Blvd,40.736136783333336,-74.02936768333333
8008.03,Prospect Ave & E 167 St,40.736136783333336,-74.02936768333333
7360.10,Amsterdam Ave & W 82 St,40.779177266666665,-74.00336778333333
5470.12,North Moore St & Greenwich St,40.73144713333333,-74.02434595
6442.08,81 St & 35 Ave,40.736136783333336,-74.02936768333333
8084.03,Fulton Ave & E 168 St,40.736136783333336,-74.02936768333333
6432.10,E 41 St & Madison Ave (SE corner),40.79118803333333,-73.99886101666667
6960.10,3 Ave & E 71 St,40.736136783333336,-74.02936768333333
